architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
64,0.001,0.01,0.6,0.3,0.48191331965157114,0.7269793405183329,0.707256181742699,0.3857454742300857,0.6592677471116755,0.30022629155893943
64,0.001,0.01,0.7,0.3,0.47889008655330423,0.7328005691243975,0.6999196481346804,0.37427336869576233,0.6768612643361166,0.29256687949866456
64,0.001,0.001,0.2,0.3,0.48210489908626936,0.7342719647887751,0.718354005598803,0.396010283648072,0.6378880885169732,0.30666618163657844
64,0.001,0.001,0.3,0.3,0.4795716869237869,0.7350290413211514,0.6922691615008078,0.383229387631621,0.6829850896577605,0.29335955156451765
64,0.001,0.001,0.4,0.3,0.4752722397607654,0.7344727379826426,0.7216668915516155,0.39066274784888233,0.6180160172166119,0.2994945785503413
64,0.001,0.001,0.5,0.3,0.46980880935625,0.7174461287878307,0.7073328902391485,0.38486339851453677,0.6218364724681867,0.28837267729125776
64,0.001,0.001,0.6,0.3,0.4706217748445818,0.7240708146987945,0.7172615966767857,0.3833776015727608,0.6177726080610231,0.29217955492204994
64,0.001,0.001,0.7,0.3,0.45720089069236874,0.7101009986471561,0.7125479196992843,0.37602235601807815,0.590062639248775,0.2754767620851669
64,0.001,0.0001,0.2,0.5,0.4757811890933928,0.7272079694892281,0.6974487697166696,0.3735731276188158,0.6637358805692101,0.2878890491533701
64,0.001,0.0001,0.3,0.3,0.47212062632240814,0.725172343130143,0.722570677360398,0.3895937676447089,0.6042470782224003,0.2961855197340443
64,0.001,0.0001,0.4,0.3,0.46650119105138915,0.7255190265954219,0.7283953918193972,0.39702659626507786,0.577821003722517,0.29458177407704095
64,0.001,0.0001,0.5,0.3,0.45751849212146434,0.7132374762789927,0.7001120473611838,0.3740734206160933,0.6144709698936295,0.2720527859167913
64,0.001,0.0001,0.6,0.3,0.4533094761158731,0.7143451464048676,0.7221817145557086,0.3852107315851482,0.5617824176547439,0.2772887822738321
64,0.001,0.0001,0.7,0.3,0.44589098884347145,0.6990250786738391,0.691581711566875,0.3562083371947798,0.6089708013227337,0.25321940388802605
64,0.001,1e-05,0.2,0.3,0.4714235781539493,0.7355855618253966,0.7273326321792526,0.3969569371125921,0.5929914889775494,0.29896727967217923
64,0.001,1e-05,0.3,0.3,0.46660763686992324,0.7308552819575098,0.742073305294483,0.41417563197386464,0.5475602533352737,0.3033043435053667
64,0.001,1e-05,0.4,0.3,0.45564649362369575,0.7076777688580418,0.6777852120355323,0.36467167363847847,0.651364486570172,0.2620213715751113
64,0.001,1e-05,0.5,0.3,0.4634094519230592,0.7163644940015941,0.6990500161807651,0.37242763178379307,0.6332884531639562,0.27682970466651835
64,0.001,1e-05,0.6,0.3,0.45033664258774575,0.7098562713696343,0.7059827569547079,0.36823216199676434,0.5925070287760736,0.26551252955782434
64,0.001,1e-05,0.7,0.3,0.44784112559517625,0.7053726884867731,0.6998848265756127,0.3628548990035654,0.5988103230027557,0.2594534774027168
64,0.0001,0.01,0.2,0.3,0.4627441998487248,0.7206756542137148,0.691427677176116,0.3621380757346259,0.648683097640601,0.2705589606338461
64,0.0001,0.01,0.3,0.3,0.47221205805481725,0.7247708304865791,0.6899934408160605,0.36864280722531495,0.6732318365347745,0.28153793264261334
64,0.0001,0.01,0.4,0.3,0.46482699698524355,0.71680992065867,0.6998060777922478,0.3672841760159532,0.6390470815806164,0.2766962493444959
64,0.0001,0.01,0.5,0.3,0.4569686968939585,0.7186770857612766,0.6822786220742819,0.35490399295313824,0.6481554353001007,0.2603992643091722
64,0.0001,0.01,0.6,0.3,0.45297610743334193,0.7073738803483802,0.6751981139103538,0.3482019662131627,0.6572029508238105,0.25269324875543775
64,0.0001,0.01,0.7,0.3,0.4423322063678775,0.6990124352141869,0.6644230335212642,0.33743898892746094,0.6495554220747201,0.23611431525372772
64,0.0001,0.001,0.2,0.3,0.4505355015218204,0.7047310552939606,0.6780069893601892,0.3527173457077025,0.6427714417448093,0.25228952711335395
64,0.0001,0.001,0.3,0.3,0.452581652778989,0.7093431050734619,0.6929082876062683,0.3595307360860581,0.6187033042412293,0.26030310273146495
64,0.0001,0.001,0.4,0.3,0.4619230914798177,0.7168356015686583,0.6951652362617688,0.36499693166647135,0.6362077926235676,0.2718101882141125
64,0.0001,0.001,0.5,0.3,0.4533353883967088,0.7088690134966371,0.677701595744446,0.35222651595463095,0.6489676040548625,0.2553166076962937
64,0.0001,0.001,0.6,0.3,0.42717366027391357,0.6902784693631743,0.661142907140827,0.327551043328378,0.6219312535876987,0.2177321568959326
64,0.0001,0.001,0.7,0.3,0.43513670466370835,0.6715734009557208,0.6205334570318356,0.32656054284023867,0.6995333382337662,0.2172679041156461
